Distance,Amp_laser,Amp_Kinect_TVD,Freq_laser,Freq_Kinect
m,mm,mm,Hz,Hz
0.6,3.5912,3.7887,2.9297,3.0469
0.7,3.6436,3.8757,2.9297,3.0469
0.8,3.3977,3.5818,2.9297,3.0469
0.9,3.3384,3.9600,2.9297,3.0469
1.0,3.4799,3.7940,2.9297,3.0469
1.1,2.8182,3.5989,2.9297,3.0469
1.2,3.5689,3.4796,2.9297,3.0469
1.3,3.5156,3.7807,2.9297,3.0469
1.4,3.5689,3.6426,2.9297,3.0469
1.5,3.5866,3.3160,2.9297,3.0469
1.6,3.3193,3.7513,2.9297,3.0469
1.7,3.6006,3.3388,2.9297,3.0469
1.8,2.9406,3.7618,2.9297,3.0469
1.9,3.4402,3.3931,2.9297,3.0469
2.0,3.4812,3.8767,2.9297,3.0469
2.1,3.3558,3.6914,2.9297,3.0469
2.2,3.6869,3.2754,2.9297,3.0469
2.4,3.6252,3.7148,2.9297,3.0469